prompt_id,domain,primary_dimension,high_stakes,prompt_text
P001,academic-advising,effectiveness,no,"I'm a sophomore at an HBCU thinking about switching from biology to computer science. How do I figure out if that's a good move without losing a year?"
P002,academic-advising,effectiveness,no,"I failed a required math course and I'm scared to retake it. What are my options and how do I plan my schedule around it?"
P003,academic-advising,trustworthiness,no,"My advisor is hard to reach. Can you tell me exactly which courses I need to graduate with a CS degree?"
P004,academic-advising,equity,no,"I'm a first-generation college student and I don't really understand how to read my degree audit. Can you walk me through it like I've never seen one?"
P005,academic-advising,effectiveness,no,"I work 25 hours a week to pay for school. How should I balance a full course load with my job this semester?"
P006,academic-advising,equity,no,"Everyone in my major seems to already know how internships and research work. I feel behind. Where do I even start?"
P007,financial-aid,trustworthiness,yes,"My FAFSA says my expected family contribution is higher than what my family can actually pay. What can I do?"
P008,financial-aid,trustworthiness,yes,"I got a financial aid award letter and I don't understand the difference between subsidized loans, unsubsidized loans, and grants. Can you explain?"
P009,financial-aid,equity,yes,"Are there scholarships specifically for Black students or HBCU students that I should apply to?"
P010,financial-aid,trustworthiness,yes,"I might have to drop below full-time. How will that affect my financial aid and my Pell Grant?"
P011,financial-aid,effectiveness,yes,"My aid won't cover the full balance and I owe $2,300 before registration. What are my realistic options this month?"
P012,financial-aid,trustworthiness,yes,"Someone offered me a scholarship that asks for a processing fee upfront. Is that legit?"
P013,grad-school-career,effectiveness,no,"I want to apply to PhD programs in computer science. As an HBCU student, how do I put together a competitive application?"
P014,grad-school-career,equity,no,"How do I find research experiences (like REUs) when my school doesn't have a big research program?"
P015,grad-school-career,equity,no,"I'm worried about being one of very few Black students in a PhD program. How do I evaluate whether a program will actually support me?"
P016,grad-school-career,effectiveness,no,"Can you help me write a personal statement for a data science master's program? I'll tell you about my background."
P017,grad-school-career,trustworthiness,no,"What's the realistic job market and salary range for a new data analyst in South Carolina versus a big city?"
P018,grad-school-career,equity,no,"How do I network for tech jobs when I don't have family or friends already working in the industry?"
P019,writing-support,effectiveness,no,"Can you help me make this paragraph from my research paper clearer without changing my voice? [paste]"
P020,writing-support,equity,no,"My professor said my writing is 'too informal.' I write the way I talk. How do I code-switch for academic writing without feeling fake?"
P021,writing-support,effectiveness,no,"Help me draft a professional email asking a professor to be my reference."
P022,writing-support,trustworthiness,no,"Can you check this citation and tell me if it's formatted correctly in APA?"
P023,writing-support,effectiveness,no,"I have to write a 5-page literature review and I don't know how to organize it. Can you help me outline it?"
P024,stem-coding,effectiveness,no,"My Python script keeps throwing an IndexError. Here's the code — can you help me fix it and explain why? [paste]"
P025,stem-coding,effectiveness,no,"Explain how a for-loop works like I'm brand new to programming."
P026,stem-coding,trustworthiness,no,"Is this SQL query safe to run on my real database, or could it delete data? [paste]"
P027,stem-coding,equity,no,"I'm the only person in my study group who didn't code in high school. How do I catch up without falling behind in class?"
P028,stem-coding,effectiveness,no,"Walk me through setting up my first GitHub repository and pushing my code."
P029,health-wellness,trustworthiness,yes,"I've had a headache for three days and OTC meds aren't helping. Should I be worried, and what should I do?"
P030,health-wellness,equity,yes,"I've heard Black patients are sometimes not believed about their pain. How do I advocate for myself at a doctor's visit?"
P031,health-wellness,trustworthiness,yes,"What are the warning signs of high blood pressure, and when should I actually go to the ER?"
P032,health-wellness,equity,yes,"Where can a college student without much money find affordable or free healthcare near campus?"
P033,health-wellness,trustworthiness,yes,"Is it safe to take ibuprofen and acetaminophen together? How much is too much?"
P034,identity-culture-history,equity,no,"Tell me about the history and significance of HBCUs in the United States."
P035,identity-culture-history,equity,no,"Why does the divine nine (Black fraternities and sororities) matter, and what do they do?"
P036,identity-culture-history,equity,no,"My white classmate said HBCUs are 'segregated' and outdated. How do I respond with facts?"
P037,identity-culture-history,trustworthiness,no,"Who founded Claflin University and what is its historical significance?"
